,Are you self-employed?,Do you have previous employers?,Would you be willing to bring up a physical health issue with a potential employer in an interview?,Would you bring up a mental health issue with a potential employer in an interview?,Do you feel that being identified as a person with a mental health issue would hurt your career?,Do you think that team members/co-workers would view you more negatively if they knew you suffered from a mental health issue?,How willing would you be to share with friends and family that you have a mental illness?,Do you have a family history of mental illness?,Have you had a mental health disorder in the past?,Do you currently have a mental health disorder?
287,-5,5,5,5,1,1,1,1,-5,-5
288,-5,5,-5,-5,3,3,1,5,5,5
289,-5,5,1,1,1,1,0,5,-5,-5
290,-5,5,1,1,3,1,-5,-5,-5,-5
291,-5,5,5,-5,1,-3,-5,1,5,1
292,-5,-5,1,-5,1,1,1,5,1,1
293,5,5,-5,-5,3,3,-1,1,1,5
294,-5,5,-5,-5,3,3,1,5,5,1
295,-5,5,1,-5,-3,-3,1,5,5,5
296,5,5,1,-5,3,3,-3,5,5,5
297,-5,5,1,1,1,1,5,5,5,5
298,-5,5,5,5,1,-3,5,5,1,-5
299,-5,5,-5,-5,1,1,0,-5,-5,-5
300,-5,5,1,1,1,-3,-5,1,5,1
301,-5,5,1,1,3,1,5,5,5,5
302,-5,5,1,1,-3,-5,1,5,5,5
303,-5,-5,5,1,3,3,0,-5,1,-5
304,5,5,1,-5,3,-3,5,5,5,5
305,-5,5,1,1,1,1,-5,-5,-5,-5
306,-5,5,1,1,3,-3,-1,5,5,-5
307,-5,5,-5,-5,3,1,5,-5,-5,-5
308,5,5,1,-5,3,3,0,-5,5,5
309,5,5,5,1,5,1,1,5,5,5
310,-5,5,-5,-5,3,3,1,5,5,5
311,5,5,1,1,5,1,5,5,5,5
312,-5,5,-5,-5,1,1,1,-5,-5,-5
313,-5,5,1,-5,1,-3,-3,5,5,5
314,-5,5,1,-5,1,1,1,-5,-5,-5
315,5,5,5,-5,3,3,1,5,5,5
316,-5,5,5,1,1,-3,5,-5,-5,-5
317,-5,5,1,-5,3,3,1,5,5,-5
318,-5,-5,-5,-5,1,-3,1,5,5,5
319,-5,5,-5,-5,1,1,1,5,5,-5
320,-5,5,-5,-5,3,1,1,-5,-5,-5
321,-5,5,1,1,1,-3,1,5,-5,5
322,-5,5,1,-5,3,1,5,5,5,5
323,-5,5,1,1,1,-3,5,5,1,-5
324,-5,5,5,-5,1,1,-1,5,1,1
325,-5,5,1,1,3,1,1,-5,-5,-5
326,-5,5,-5,-5,1,1,1,-5,5,5
327,-5,5,5,-5,3,3,-1,5,-5,-5
328,-5,-5,5,1,3,3,0,5,-5,-5
329,-5,5,-5,-5,3,1,1,-5,-5,-5
330,5,5,1,1,1,-3,5,-5,5,5
331,-5,5,5,-5,1,1,-1,1,5,5
332,-5,5,1,-5,3,3,-1,1,1,1
333,-5,-5,5,1,1,1,1,5,1,1
334,-5,5,1,1,1,1,5,5,5,1
335,-5,5,5,5,-3,1,-1,5,1,1
336,-5,-5,5,1,-5,-5,1,-5,5,5
337,5,5,1,1,-3,1,-1,-5,1,1
338,-5,5,1,1,1,-5,1,5,5,5
339,-5,5,1,1,-5,-3,5,-5,5,5
340,5,-5,-5,-5,3,3,-1,1,-5,-5
341,-5,5,5,5,1,1,1,-5,5,5
342,-5,5,5,-5,-3,-3,1,-5,1,-5
343,-5,5,-5,-5,-3,-3,-1,-5,-5,1
344,-5,5,5,5,1,-3,1,5,-5,-5
345,-5,5,1,-5,5,1,-1,1,5,5
346,-5,-5,1,1,3,1,1,1,-5,1
347,-5,5,1,1,1,-3,1,1,-5,-5
348,-5,5,1,1,-3,-3,1,5,-5,-5
349,-5,5,1,-5,1,-3,1,5,5,5
350,-5,5,-5,-5,1,3,0,-5,-5,1
351,-5,-5,1,-5,3,1,0,-5,-5,-5
352,-5,5,1,-5,5,1,1,1,1,-5
353,5,5,5,5,1,1,1,-5,1,1
354,5,5,1,-5,1,1,-3,5,5,5
355,-5,5,-5,-5,1,-3,1,5,5,5
356,-5,5,1,-5,3,3,-1,-5,-5,-5
357,-5,5,1,-5,1,1,5,1,5,5
358,-5,5,1,-5,3,3,1,5,5,5
359,-5,5,-5,-5,3,3,0,5,5,1
360,5,5,1,1,3,1,-5,-5,-5,-5
361,-5,5,-5,-5,3,1,5,5,5,5
362,-5,5,-5,-5,3,3,-5,-5,-5,-5
363,-5,5,-5,-5,-5,-5,1,5,1,1
364,-5,5,5,5,1,-3,5,-5,-5,-5
365,-5,5,-5,-5,1,-3,-1,-5,5,-5
366,-5,5,1,1,1,1,1,5,-5,-5
367,-5,5,5,5,1,1,5,5,5,5
368,-5,5,-5,-5,-5,1,5,-5,5,-5
369,-5,5,1,1,1,-3,1,5,5,5
370,-5,5,-5,-5,3,3,-5,-5,1,-5
371,-5,5,5,5,1,-3,1,-5,-5,-5
372,-5,5,5,1,1,-3,1,5,5,5
373,5,5,1,1,-3,1,-5,-5,5,1
374,5,5,1,-5,1,1,-1,1,5,5
375,-5,5,1,-5,1,1,-5,5,-5,-5
376,-5,-5,-5,-5,1,-5,-1,-5,1,-5
377,-5,5,1,-5,5,5,1,5,5,5
378,5,5,1,5,1,1,1,5,5,5
379,-5,5,1,-5,-3,1,1,5,1,1
380,-5,5,5,5,5,1,5,5,5,5
381,-5,5,1,-5,3,1,5,5,5,5
382,-5,5,-5,-5,3,3,1,5,5,5
383,-5,5,-5,-5,1,1,1,1,5,5
384,-5,5,-5,-5,1,1,1,1,5,5
385,-5,5,1,-5,1,3,1,5,5,1
386,5,5,1,1,3,1,-5,-5,-5,-5
387,5,5,5,1,1,3,-5,5,-5,-5
388,-5,5,-5,-5,3,3,1,5,5,5
389,-5,5,5,-5,-5,1,1,5,5,5
390,-5,5,-5,-5,3,3,1,-5,-5,-5
391,-5,-5,5,-5,3,3,1,-5,-5,-5
392,-5,5,-5,-5,3,1,-1,1,5,5
393,-5,5,-5,-5,3,3,0,5,-5,1
394,-5,5,-5,5,-5,-5,5,1,5,5
395,5,5,1,1,1,1,1,-5,-5,-5
396,-5,5,-5,-5,1,1,-1,1,1,1
397,-5,-5,5,-5,1,3,-1,-5,-5,-5
398,-5,5,1,-5,1,-3,1,5,5,5
399,5,5,-5,-5,-5,1,0,5,1,-5
400,-5,5,5,1,3,-3,-1,1,-5,-5
401,-5,5,-5,-5,3,-3,1,-5,1,1
402,-5,5,1,1,5,1,1,5,5,5
403,5,5,5,1,3,3,-5,5,5,-5
404,-5,5,1,-5,3,3,1,5,5,5
405,-5,5,1,-5,5,1,5,1,-5,-5
406,5,5,1,1,1,1,1,1,-5,1
407,-5,5,-5,-5,3,1,0,5,5,5
408,-5,5,-5,-5,3,1,-5,5,5,-5
409,-5,-5,-5,-5,1,-3,1,-5,-5,5
410,-5,5,1,-5,1,1,0,1,5,5
411,-5,5,1,-5,3,3,1,5,5,1
412,-5,5,1,-5,1,1,0,5,5,5
413,5,5,1,-5,1,1,5,-5,5,-5
414,-5,5,5,1,-3,1,5,-5,5,-5
415,-5,-5,1,1,-3,-3,1,1,5,5
416,-5,5,5,-5,3,-3,1,-5,5,5
417,5,5,1,-5,-3,1,1,5,5,5
418,5,5,-5,-5,3,3,-1,1,-5,5
419,-5,5,5,1,1,1,5,5,5,1
420,-5,5,1,1,3,3,1,5,5,5
421,-5,5,-5,-5,3,1,-1,-5,-5,-5
422,-5,5,5,5,-3,-3,-5,5,5,-5
423,-5,5,-5,-5,1,1,-1,5,5,5
424,-5,5,-5,-5,3,1,-3,1,1,1
425,-5,5,1,1,1,-3,1,-5,-5,-5
426,-5,5,5,-5,3,1,0,1,-5,-5
427,-5,5,-5,-5,3,3,5,-5,-5,-5
428,5,5,1,1,3,3,1,5,5,5
429,-5,5,1,-5,3,1,1,5,5,5
430,-5,5,1,1,1,1,1,5,-5,-5
431,-5,5,5,1,1,5,-1,5,5,5
432,-5,5,1,-5,-3,-3,1,-5,-5,-5
433,5,5,-5,-5,3,3,-5,-5,-5,-5
434,-5,5,1,1,1,1,-1,-5,1,1
435,-5,5,1,1,1,-3,5,-5,-5,-5
436,-5,5,5,-5,1,-3,1,-5,5,-5
437,-5,5,1,-5,3,3,-5,-5,-5,-5
438,-5,5,1,1,3,3,-3,5,1,1
439,-5,5,-5,-5,3,3,-5,-5,-5,-5
440,-5,5,-5,-5,1,1,5,5,5,5
441,5,5,5,1,1,-3,5,1,-5,-5
442,5,5,1,-5,1,1,5,5,5,5
443,5,5,1,1,1,-3,0,1,5,1
444,5,5,-5,-5,5,5,0,5,1,1
445,-5,5,-5,-5,1,3,5,1,1,1
446,-5,5,-5,-5,3,3,1,1,5,5
447,-5,5,5,1,1,-3,1,-5,-5,1
448,-5,5,-5,-5,3,1,0,-5,-5,-5
449,-5,-5,1,-5,1,-3,-5,-5,-5,-5
450,5,-5,-5,-5,3,1,1,-5,-5,-5
451,-5,5,1,-5,1,-3,1,-5,-5,5
452,-5,5,-5,-5,5,5,-1,5,5,5
453,-5,5,5,-5,1,-5,1,5,5,5
454,-5,-5,1,-5,-3,-5,-1,5,5,5
455,-5,5,-5,-5,5,5,-1,5,1,1
456,-5,5,-5,-5,-3,-3,1,5,5,1
457,-5,-5,5,-5,3,3,1,-5,5,5
458,-5,5,1,1,1,-3,1,-5,5,1
459,-5,5,1,-5,1,1,-5,1,1,-5
460,-5,5,-5,-5,3,3,1,5,1,1
461,-5,5,-5,-5,3,3,0,5,5,1
462,-5,5,1,-5,1,-3,5,5,5,5
463,5,5,1,-5,1,1,1,-5,-5,-5
464,-5,5,1,-5,3,3,5,1,5,5
465,-5,5,1,-5,3,3,-1,-5,1,-5
